['EP2940689A2 (A3,B1) ¡E 2015-11-04 ¡E QUANTA COMP INC\n', ' AT Lapse: 17.07.2019\n', ' BE Lapse: 30.04.2020\n', ' BG Lapse: 17.10.2019\n', ' CH Lapse: 30.04.2020\n', 'CY Lapse: 17.07.2019\n', ' CZ Lapse: 17.07.2019\n', ' DE  \n', ' DK Lapse: 17.07.2019\n', ' EE Lapse: 17.07.2019\n', ' ES Lapse: 17.07.2019\n', ' FI Lapse: 17.07.2019\n', ' FR  \n', ' GB  \n', ' GR Lapse: 18.10.2019\n', ' HR Lapse: 17.07.2019\n', ' HU Lapse: 15.04.2015\n', ' IE Lapse: 15.04.2020\n', ' IS Lapse: 17.11.2019\n', ' IT Lapse: 17.07.2019\n', ' LI Lapse: 30.04.2020\n', ' LT Lapse: 17.07.2019\n', ' LU Lapse: 15.04.2020\n', 'LV Lapse: 17.07.2019\n', ' MC Lapse: 17.07.2019\n', ' MK Lapse: 17.07.2019\n', ' MT Lapse: 17.07.2019\n', ' NL Lapse: 17.07.2019\n', ' NO Lapse: 17.10.2019\n', ' PL Lapse: 17.07.2019\n', ' PT Lapse: 18.11.2019\n', ' RO Lapse: 17.07.2019\n', ' RS Lapse: 17.07.2019\n', ' SE Lapse: 17.07.2019\n', ' SI Lapse: 17.07.2019\n', ' SK Lapse: 17.07.2019\n', ' SM Lapse: 17.07.2019\n', ' TR Lapse: 17.07.2019\n', 'x', 'x']

['EP3239984A1 (B1) ¡E 2017-11-01 ¡E QUANTA COMP INC\n', ' AT Lapse: 01.01.2020\n', ' BE Lapse: 30.04.2020\n', ' BG Lapse: 01.04.2020\n', ' CH Lapse: 30.04.2020\n', 'CY Lapse: 01.01.2020\n', ' CZ Lapse: 01.01.2020\n', ' DE  \n', ' DK Lapse: 01.01.2020\n', ' EE Lapse: 01.01.2020\n', ' ES Lapse: 01.01.2020\n', ' FI Lapse: 01.01.2020\n', ' FR  \n', ' GB  \n', ' GR Lapse: 02.04.2020\n', ' HR Lapse: 01.01.2020\n', ' HU Lapse: 06.04.2017\n', ' IE Lapse: 06.04.2020\n', ' IS Lapse: 01.05.2020\n', ' IT Lapse: 01.01.2020\n', ' LI Lapse: 30.04.2020\n', ' LT Lapse: 01.01.2020\n', ' LU Lapse: 06.04.2020\n', 'LV Lapse: 01.01.2020\n', ' MC Lapse: 01.01.2020\n', ' MK Lapse: 01.01.2020\n', ' MT Lapse: 01.01.2020\n', ' NL Lapse: 01.01.2020\n', ' NO Lapse: 01.04.2020\n', ' PL Lapse: 01.01.2020\n', ' PT Lapse: 27.05.2020\n', ' RO Lapse: 01.01.2020\n', ' RS Lapse: 01.01.2020\n', ' SE Lapse: 01.01.2020\n', ' SI Lapse: 01.01.2020\n', ' SK Lapse: 01.01.2020\n', ' SM Lapse: 01.01.2020\n', ' TR Lapse: 01.01.2020\n', 'x', 'x']

['EP2977889A1 (B1) ¡E 2016-01-27 ¡E QUANTA COMP INC\n', ' AT Lapse: 15.12.2021\n', ' BE Lapse: 30.04.2022\n', ' BG Lapse: 15.03.2022\n', ' CH Lapse: 30.04.2022\n', 'CY  \n', ' CZ Lapse: 15.12.2021\n', ' DE  \n', ' DK Lapse: 15.12.2021\n', ' EE Lapse: 15.12.2021\n', ' ES Lapse: 15.12.2021\n', ' FI Lapse: 15.12.2021\n', ' FR  \n', ' GB  \n', ' GR Lapse: 16.03.2022\n', ' HR Lapse: 15.12.2021\n', ' HU  \n', ' IE Lapse: 23.04.2022\n', ' IS Lapse: 15.04.2022\n', ' IT  \n', ' LI Lapse: 30.04.2022\n', ' LT Lapse: 15.12.2021\n', ' LU Lapse: 23.04.2022\n', 'LV Lapse: 15.12.2021\n', ' MC Lapse: 15.12.2021\n', ' MK  \n', ' MT  \n', ' NL Lapse: 15.12.2021\n', ' NO Lapse: 15.03.2022\n', ' PL Lapse: 15.12.2021\n', ' PT Lapse: 18.04.2022\n', ' RO Lapse: 15.12.2021\n', ' RS Lapse: 15.12.2021\n', ' SE Lapse: 15.12.2021\n', ' SI Lapse: 15.12.2021\n', ' SK Lapse: 15.12.2021\n', ' SM Lapse: 15.12.2021\n', ' TR  \n', 'x', 'x']

['EP2785166A2 (A3,B1) ¡E 2014-10-01 ¡E QUANTA COMP INC\n', ' AT Lapse: 13.01.2021\n', ' BE  \n', ' BG Lapse: 13.04.2021\n', ' CH  \n', 'CY  \n', ' CZ Lapse: 13.01.2021\n', ' DE  \n', ' DK Lapse: 13.01.2021\n', ' EE Lapse: 13.01.2021\n', ' ES Lapse: 13.01.2021\n', ' FI Lapse: 13.01.2021\n', ' FR  \n', ' GB  \n', ' GR Lapse: 14.04.2021\n', ' HR Lapse: 13.01.2021\n', ' HU  \n', ' IE  \n', ' IS Lapse: 13.05.2021\n', ' IT Lapse: 13.01.2021\n', ' LI  \n', ' LT Lapse: 13.01.2021\n', ' LU  \n', 'LV Lapse: 13.01.2021\n', ' MC Lapse: 13.01.2021\n', ' MK  \n', ' MT  \n', ' NL Lapse: 13.01.2021\n', ' NO Lapse: 13.04.2021\n', ' PL Lapse: 13.01.2021\n', ' PT Lapse: 13.05.2021\n', ' RO Lapse: 13.01.2021\n', ' RS Lapse: 13.01.2021\n', ' SE Lapse: 13.01.2021\n', ' SI Lapse: 13.01.2021\n', ' SK Lapse: 13.01.2021\n', ' SM Lapse: 13.01.2021\n', ' TR  \n', 'x', 'x']

['EP3021223A1 (B1) ¡E 2016-05-18 ¡E QUANTA COMP INC\n', ' AT Lapse: 25.10.2017\n', ' BE Lapse: 31.05.2018\n', ' BG Lapse: 25.01.2018\n', ' CH Lapse: 31.05.2018\n', 'CY Lapse: 25.10.2017\n', ' CZ Lapse: 25.10.2017\n', ' DE  \n', ' DK Lapse: 25.10.2017\n', ' EE Lapse: 25.10.2017\n', ' ES Lapse: 25.10.2017\n', ' FI Lapse: 25.10.2017\n', ' FR  \n', ' GB  \n', ' GR Lapse: 26.01.2018\n', ' HR Lapse: 25.10.2017\n', ' HU Lapse: 21.05.2015\n', ' IE Lapse: 21.05.2018\n', ' IS Lapse: 25.02.2018\n', ' IT Lapse: 25.10.2017\n', ' LI Lapse: 31.05.2018\n', ' LT Lapse: 25.10.2017\n', ' LU Lapse: 21.05.2018\n', 'LV Lapse: 25.10.2017\n', ' MC Lapse: 25.10.2017\n', ' MK Lapse: 25.10.2017\n', ' MT Lapse: 21.05.2018\n', ' NL Lapse: 25.10.2017\n', ' NO Lapse: 25.01.2018\n', ' PL Lapse: 25.10.2017\n', ' PT Lapse: 25.10.2017\n', ' RO Lapse: 25.10.2017\n', ' RS Lapse: 25.10.2017\n', ' SE Lapse: 25.10.2017\n', ' SI Lapse: 25.10.2017\n', ' SK Lapse: 25.10.2017\n', ' SM Lapse: 25.10.2017\n', ' TR Lapse: 25.10.2017\n', 'x', 'x']

['EP2978194A1 (B1) ¡E 2016-01-27 ¡E QUANTA COMP INC\n', ' AT Lapse: 30.06.2021\n', ' BE  \n', ' BG Lapse: 30.09.2021\n', ' CH  \n', 'CY  \n', ' CZ Lapse: 30.06.2021\n', ' DE  \n', ' DK Lapse: 30.06.2021\n', ' EE Lapse: 30.06.2021\n', ' ES Lapse: 30.06.2021\n', ' FI Lapse: 30.06.2021\n', ' FR  \n', ' GB  \n', ' GR Lapse: 01.10.2021\n', ' HR Lapse: 30.06.2021\n', ' HU  \n', ' IE  \n', ' IS Lapse: 30.10.2021\n', ' IT Lapse: 30.06.2021\n', ' LI  \n', ' LT Lapse: 30.06.2021\n', ' LU  \n', 'LV Lapse: 30.06.2021\n', ' MC Lapse: 30.06.2021\n', ' MK  \n', ' MT  \n', ' NL Lapse: 30.06.2021\n', ' NO Lapse: 30.09.2021\n', ' PL Lapse: 30.06.2021\n', ' PT Lapse: 02.11.2021\n', ' RO Lapse: 30.06.2021\n', ' RS Lapse: 30.06.2021\n', ' SE Lapse: 30.06.2021\n', ' SI Lapse: 30.06.2021\n', ' SK Lapse: 30.06.2021\n', ' SM Lapse: 30.06.2021\n', ' TR  \n', 'x', 'x']

['EP2804071A2 (A3,B1) ¡E 2014-11-19 ¡E QUANTA COMP INC\n', ' AT Lapse: 02.01.2019\n', ' BE  \n', ' BG Lapse: 02.04.2019\n', ' CH  \n', 'CY Lapse: 02.01.2019\n', ' CZ Lapse: 02.01.2019\n', ' DE  \n', ' DK Lapse: 02.01.2019\n', ' EE Lapse: 02.01.2019\n', ' ES Lapse: 02.01.2019\n', ' FI Lapse: 02.01.2019\n', ' FR  \n', ' GB  \n', ' GR Lapse: 03.04.2019\n', ' HR Lapse: 02.01.2019\n', ' HU Lapse: 22.11.2013\n', ' IE  \n', ' IS Lapse: 02.05.2019\n', ' IT Lapse: 02.01.2019\n', ' LI  \n', ' LT Lapse: 02.01.2019\n', ' LU  \n', 'LV Lapse: 02.01.2019\n', ' MC Lapse: 02.01.2019\n', ' MK Lapse: 02.01.2019\n', ' MT Lapse: 02.01.2019\n', ' NL Lapse: 02.01.2019\n', ' NO Lapse: 02.04.2019\n', ' PL Lapse: 02.01.2019\n', ' PT Lapse: 02.05.2019\n', ' RO Lapse: 02.01.2019\n', ' RS Lapse: 02.01.2019\n', ' SE Lapse: 02.01.2019\n', ' SI Lapse: 02.01.2019\n', ' SK Lapse: 02.01.2019\n', ' SM Lapse: 02.01.2019\n', ' TR Lapse: 02.01.2019\n', 'x', 'x']

['EP3062192A1 (B1) ¡E 2016-08-31 ¡E QUANTA COMP INC\n', ' AT Lapse: 03.07.2019\n', ' BE Lapse: 31.07.2019\n', ' BG Lapse: 03.10.2019\n', ' CH Lapse: 31.07.2019\n', 'CY Lapse: 03.07.2019\n', ' CZ Lapse: 03.07.2019\n', ' DE  \n', ' DK Lapse: 03.07.2019\n', ' EE Lapse: 03.07.2019\n', ' ES Lapse: 03.07.2019\n', ' FI Lapse: 03.07.2019\n', ' FR  \n', ' GB  \n', ' GR Lapse: 04.10.2019\n', ' HR Lapse: 03.07.2019\n', ' HU Lapse: 22.07.2015\n', ' IE Lapse: 22.07.2019\n', ' IS Lapse: 03.11.2019\n', ' IT Lapse: 03.07.2019\n', ' LI Lapse: 31.07.2019\n', ' LT Lapse: 03.07.2019\n', ' LU Lapse: 22.07.2019\n', 'LV Lapse: 03.07.2019\n', ' MC Lapse: 03.07.2019\n', ' MK Lapse: 03.07.2019\n', ' MT Lapse: 03.07.2019\n', ' NL Lapse: 03.07.2019\n', ' NO Lapse: 03.10.2019\n', ' PL Lapse: 03.07.2019\n', ' PT Lapse: 04.11.2019\n', ' RO Lapse: 03.07.2019\n', ' RS Lapse: 03.07.2019\n', ' SE Lapse: 03.07.2019\n', ' SI Lapse: 03.07.2019\n', ' SK Lapse: 03.07.2019\n', ' SM Lapse: 03.07.2019\n', ' TR Lapse: 03.07.2019\n', 'x', 'x']

